"","as.numeric(mydata_2$subsidy)"
"1",300358.5
"2",498409.93
"3",1026572.692
"4",1798500
"5",276973.92
"6",750000
"7",333250
"8",344280
"9",5e+06
"10",925000
"11",2500000
"12",626377
"13",1835000
"14",750000
"15",859555
"16",410000
"17",2019131.275
"18",2500000
"19",564000
"20",240000
"21",1997859.208
"22",732862
"23",405897
"24",826185
"25",2500000
"26",633732.504
"27",2e+06
"28",1117875
"29",1254633.732
"30",959938.59
"31",775114.7475
"32",9e+05
"33",385000
"34",1436675
"35",1403740.94
"36",1653368.5
"37",2497336.5
"38",645785.292
"39",1300000
"40",322598.735
"41",305635
"42",392500
"43",750000
"44",945000
"45",560000
"46",6e+05
"47",2257956.835
"48",869485.54
"49",9e+05
"50",759591.475
"51",462543.75
"52",350000
"53",836642.805
"54",782535
"55",3214076.19
"56",767429.035
"57",3506407.62
"58",660000
"59",957613.156
"60",1020000
"61",366922.535
"62",940595.06
"63",638244.09
"64",910510.32
"65",944703.35
"66",450000
"67",305095.555
"68",4700000
"69",1450000
"70",1450000
"71",3207313.575
"72",557516
"73",370304.31
"74",2500000
"75",719338.625
"76",2460000
"77",690000
"78",1708289.58
"79",779420.2
"80",1360000
"81",852881.5
"82",836102.71
"83",886127.45
"84",781213.82
"85",636395
"86",1017555
"87",403325
"88",1050000
"89",1545225
"90",5e+06
"91",2498130
"92",674927.11
"93",954758
"94",985309.725
"95",301547.5
"96",1133236.11
"97",1923634.05
"98",1479205.06
"99",402747.5
"100",708700
"101",462465.25
"102",1968500
"103",340876.22
"104",2499640.445
"105",309436.4
"106",480000
"107",2783914.1
"108",799332
"109",520286.585
"110",1131484.3875
"111",2496915
"112",1290000
"113",5e+06
"114",283000
"115",4999702.8
"116",598785
"117",2500000
"118",1202330.176
"119",593639.73
"120",530331.375
"121",490904.536
"122",673000
"123",2093924.935
"124",2499540.6
"125",510546.72
"126",937951.96
"127",2130465.465
"128",407800
"129",1175000
"130",2500000
"131",3300000
"132",656037.5
"133",525923.35
"134",699351.7125
"135",637500
"136",596000
"137",333750
"138",6e+05
"139",636000
"140",770050
"141",1250000
"142",1779445.2075
"143",1198491
"144",2499040.875
"145",408519.89
"146",314651
"147",331854.1
"148",1888717.515
"149",335783.5
"150",3980299.928
"151",650000
"152",402381.75
"153",1383151.205
"154",350000
"155",2475982.93
"156",608000
"157",2499550
"158",1375100
"159",841920.5
"160",612160
"161",1242000
"162",1363383.36
"163",1500000
"164",1566384.208
"165",3e+05
"166",1858905.3
"167",799357.35
"168",990700.896
"169",2412751.76
"170",628156.415
"171",1601295.42
"172",1431684.6
"173",3226614.44
"174",682692.44
"175",1509598.35
"176",751772.2725
"177",2493730.115
