year,country,quantity
2008,Belgium,126
2008,Bulgaria,7251
2008,Czech Republic,20395
2008,Denmark,37216
2008,Germany,43977
2008,Estonia,475
2008,Ireland,44871
2008,Greece,114888
2008,Spain,252238
2008,France,238249
2008,Croatia,16387
2008,Italy,157865
2008,Cyprus,3776
2008,Latvia,583
2008,Lithuania,3008
2008,Hungary,15000
2008,Malta,6727
2008,Netherlands,46621
2008,Austria,2087
2008,Poland,36813
2008,Portugal,7352
2008,Romania,12496
2008,Slovenia,1315
2008,Slovakia,1078
2008,Finland,13439
2008,Sweden,7596
2008,United Kingdom,179843
2008,Iceland,5088
2008,Norway,848406
2008,Turkey,
2009,Belgium,576
2009,Bulgaria,7912
2009,Czech Republic,20071
2009,Denmark,34131
2009,Germany,39957
2009,Estonia,654
2009,Ireland,47212
2009,Greece,121971
2009,Spain,268457
2009,France,236439
2009,Croatia,16329
2009,Italy,162325
2009,Cyprus,3356
2009,Latvia,517
2009,Lithuania,3428
2009,Hungary,14171
2009,Malta,5619
2009,Netherlands,55561
2009,Austria,2141
2009,Poland,36503
2009,Portugal,6727
2009,Romania,13131
2009,Slovenia,1308
2009,Slovakia,823
2009,Finland,13627
2009,Sweden,8540
2009,United Kingdom,196603
2009,Iceland,5165
2009,Norway,961840
2009,Turkey,
2010,Belgium,
2010,Bulgaria,7920
2010,Czech Republic,20420
2010,Denmark,32330
2010,Germany,40694
2010,Estonia,573
2010,Ireland,46188
2010,Greece,120981
2010,Spain,253784
2010,France,203017
2010,Croatia,15686
2010,Italy,153626
2010,Cyprus,4106
2010,Latvia,549
2010,Lithuania,3087.65
2010,Hungary,13637
2010,Malta,6881
2010,Netherlands,66795
2010,Austria,2167
2010,Poland,36503
2010,Portugal,8225
2010,Romania,8781
2010,Slovenia,778
2010,Slovakia,
2010,Finland,11771
2010,Sweden,10643
2010,United Kingdom,201364
2010,Iceland,5050
2010,Norway,1019712
2010,Turkey,
2011,Belgium,
2011,Bulgaria,7091
2011,Czech Republic,21010
2011,Denmark,
2011,Germany,
2011,Estonia,419.73
2011,Ireland,43921
2011,Greece,111218
2011,Spain,274223
2011,France,193672
2011,Croatia,17189
2011,Italy,164127
2011,Cyprus,4666.7
2011,Latvia,546
2011,Lithuania,2877.08
2011,Hungary,15509
2011,Malta,4072
2011,Netherlands,43720
2011,Austria,
2011,Poland,
2011,Portugal,9166
2011,Romania,8353
2011,Slovenia,
2011,Slovakia,913
2011,Finland,
2011,Sweden,13441
2011,United Kingdom,198968
2011,Iceland,5306
2011,Norway,1144819
2011,Turkey,188785
2012,Belgium,
2012,Bulgaria,6940
2012,Czech Republic,20763
2012,Denmark,33588
2012,Germany,
2012,Estonia,
2012,Ireland,34229
2012,Greece,108852
2012,Spain,266593
2012,France,205106
2012,Croatia,13921
2012,Italy,137039
2012,Cyprus,4334
2012,Latvia,574
2012,Lithuania,3226.17
2012,Hungary,14558
2012,Malta,7440
2012,Netherlands,45954.4
2012,Austria,
2012,Poland,33226
2012,Portugal,10317
2012,Romania,10005
2012,Slovenia,
2012,Slovakia,1263
2012,Finland,
2012,Sweden,13757
2012,United Kingdom,205595
2012,Iceland,
2012,Norway,1321119
2012,Turkey,212410
2013,Belgium,
2013,Bulgaria,6292
2013,Czech Republic,19360
2013,Denmark,31790
2013,Germany,
2013,Estonia,
2013,Ireland,32664.1
2013,Greece,
2013,Spain,226221
2013,France,200330
2013,Croatia,13720
2013,Italy,140880
2013,Cyprus,5339.3
2013,Latvia,644
2013,Lithuania,3840.82
2013,Hungary,14383
2013,Malta,9077
2013,Netherlands,46605.36
2013,Austria,
2013,Poland,31257.97
2013,Portugal,9611.63
2013,Romania,10147
2013,Slovenia,
2013,Slovakia,1085
2013,Finland,
2013,Sweden,13366
2013,United Kingdom,203263
2013,Iceland,
2013,Norway,1247855
2013,Turkey,233394
2014,Belgium,214
2014,Bulgaria,6883
2014,Czech Republic,20163
2014,Denmark,33624
2014,Germany,26222.6
2014,Estonia,864.93
2014,Ireland,29327
2014,Greece,104451.7
2014,Spain,284976.51
2014,France,
2014,Croatia,13767.8
2014,Italy,148730.34
2014,Cyprus,4835.28
2014,Latvia,686.29
2014,Lithuania,3350.19
2014,Hungary,15366
2014,Malta,8605.59
2014,Netherlands,63089.02
2014,Austria,3393.31
2014,Poland,36335.83
2014,Portugal,10794.55
2014,Romania,10676.97
2014,Slovenia,1441
2014,Slovakia,1214.37
2014,Finland,13324
2014,Sweden,12899
2014,United Kingdom,214626.95
2014,Iceland,8289.5
2014,Norway,1332497.01
2014,Turkey,233997
2015,Belgium,
2015,Bulgaria,
2015,Czech Republic,
2015,Denmark,
2015,Germany,
2015,Estonia,
2015,Ireland,
2015,Greece,
2015,Spain,
2015,France,
2015,Croatia,
2015,Italy,
2015,Cyprus,5458.56
2015,Latvia,
2015,Lithuania,
2015,Hungary,
2015,Malta,
2015,Netherlands,
2015,Austria,
2015,Poland,
2015,Portugal,
2015,Romania,
2015,Slovenia,
2015,Slovakia,
2015,Finland,
2015,Sweden,
2015,United Kingdom,
2015,Iceland,
2015,Norway,
2015,Turkey,238624
