year,country,quantity
2012,Belgium,2484.27
2012,Bulgaria,535.32
2012,Czech Republic,1321.06
2012,Denmark,1607
2012,Germany (until 1990 former territory of the FRG),12506.77
2012,Estonia,246
2012,Ireland,6253.24
2012,Greece,663.1
2012,Spain,5812.61
2012,France,19032
2012,Croatia,451.5
2012,Italy,6091.47
2012,Cyprus,56.92
2012,Latvia,393.1
2012,Lithuania,729.2
2012,Luxembourg,188.3
2012,Hungary,
2012,Malta,15.59
2012,Netherlands,3985
2012,Austria,1955.62
2012,Poland,5520.35
2012,Portugal,1497.55
2012,Romania,2009.1
2012,Slovenia,
2012,Slovakia,471.08
2012,Finland,901.39
2012,Sweden,1443.57
2012,United Kingdom,9726
2012,Iceland,72.8
2012,Switzerland,
2012,Montenegro,85
2012,"Former Yugoslav Republic of Macedonia, the",251
2012,Serbia,921
2012,Turkey,14022.35
2012,Bosnia and Herzegovina,446
2013,Belgium,2432.53
2013,Bulgaria,585.55
2013,Czech Republic,1332.08
2013,Denmark,1583
2013,Germany (until 1990 former territory of the FRG),12685.99
2013,Estonia,261.4
2013,Ireland,6309.05
2013,Greece,651.2
2013,Spain,5802.22
2013,France,19129
2013,Croatia,442.4
2013,Italy,6249.29
2013,Cyprus,57.08
2013,Latvia,406.49
2013,Lithuania,713.5
2013,Luxembourg,198.24
2013,Hungary,782
2013,Malta,15.22
2013,Netherlands,4090
2013,Austria,1958.28
2013,Poland,5589.54
2013,Portugal,1470.5
2013,Romania,2022.4
2013,Slovenia,460.58
2013,Slovakia,467.82
2013,Finland,903.36
2013,Sweden,1443.51
2013,United Kingdom,9682
2013,Iceland,73.2
2013,Switzerland,
2013,Montenegro,89
2013,"Former Yugoslav Republic of Macedonia, the",238
2013,Serbia,913
2013,Turkey,14532.85
2013,Bosnia and Herzegovina,447
2014,Belgium,2477.24
2014,Bulgaria,562.36
2014,Czech Republic,1373.07
2014,Denmark,1553
2014,Germany (until 1990 former territory of the FRG),12742.19
2014,Estonia,264.7
2014,Ireland,6243.05
2014,Greece,658.9
2014,Spain,6041.01
2014,France,19253
2014,Croatia,440.6
2014,Italy,6125.42
2014,Cyprus,59.54
2014,Latvia,422.02
2014,Lithuania,736.6
2014,Luxembourg,201.15
2014,Hungary,802
2014,Malta,14.88
2014,Netherlands,4169
2014,Austria,1961.2
2014,Poland,5660.27
2014,Portugal,1548.61
2014,Romania,2068.9
2014,Slovenia,468.25
2014,Slovakia,465.54
2014,Finland,907.4
2014,Sweden,1436.53
2014,United Kingdom,9693
2014,Iceland,73.7
2014,Switzerland,
2014,Montenegro,94
2014,"Former Yugoslav Republic of Macedonia, the",242
2014,Serbia,920
2014,Turkey,14244.67
2014,Bosnia and Herzegovina,444
2015,Belgium,2503.26
2015,Bulgaria,561.04
2015,Czech Republic,1366.33
2015,Denmark,1566
2015,Germany (until 1990 former territory of the FRG),12635.46
2015,Estonia,256.2
2015,Ireland,6422.23
2015,Greece,582.2
2015,Spain,6182.91
2015,France,19386
2015,Croatia,454.3
2015,Italy,6155.81
2015,Cyprus,58.86
2015,Latvia,419.08
2015,Lithuania,722.6
2015,Luxembourg,200.64
2015,Hungary,821
2015,Malta,15.02
2015,Netherlands,4315
2015,Austria,1957.61
2015,Poland,5762.53
2015,Portugal,1605.86
2015,Romania,2092.4
2015,Slovenia,484.07
2015,Slovakia,457.59
2015,Finland,903.4
2015,Sweden,1428.4
2015,United Kingdom,9816
2015,Iceland,75.9
2015,Switzerland,1560.44
2015,Montenegro,92
2015,"Former Yugoslav Republic of Macedonia, the",253
2015,Serbia,916
2015,Turkey,14127.84
2015,Bosnia and Herzegovina,455
2016,Belgium,
2016,Bulgaria,
2016,Czech Republic,
2016,Denmark,
2016,Germany (until 1990 former territory of the FRG),
2016,Estonia,
2016,Ireland,
2016,Greece,
2016,Spain,6451.22
2016,France,
2016,Croatia,
2016,Italy,
2016,Cyprus,
2016,Latvia,
2016,Lithuania,
2016,Luxembourg,
2016,Hungary,
2016,Malta,
2016,Netherlands,
2016,Austria,
2016,Poland,
2016,Portugal,
2016,Romania,
2016,Slovenia,
2016,Slovakia,
2016,Finland,
2016,Sweden,
2016,United Kingdom,
2016,Iceland,
2016,Switzerland,
2016,Montenegro,
2016,"Former Yugoslav Republic of Macedonia, the",
2016,Serbia,
2016,Turkey,
2016,Bosnia and Herzegovina,
