year,country,quantity
1998,Albania,124
1998,Austria,2909
1998,Belgium,846
1998,Bosnia and Herzegovina,
1998,Bulgaria,4252
1998,Croatia,5989
1998,Cyprus,1178
1998,Czech Republic,17231
1998,Denmark,42368
1998,Estonia,260
1998,Faeroe Islands (DK),20436
1998,Finland,16024
1998,France,267850
1998,Germany,73020
1998,Greece,59926
1998,Guernsey and Jersey (Channel Islands),196
1998,Hungary,10222
1998,Iceland,3868
1998,Ireland,42375
1998,Italy,208625
1998,Latvia,425
1998,Lithuania,1516
1998,Malta,1950
1998,Montenegro,
1998,Netherlands,120094
1998,Norway,410757
1998,Poland,29791
1998,Portugal,7536
1998,Romania,9614
1998,Serbia,
1998,Slovakia,648
1998,Slovenia,909
1998,Spain,313697
1998,Sweden,5476
1998,Switzerland,1150
1998,Turkey,56700
1998,United Kingdom,137421
1999,Albania,310
1999,Austria,3067
1999,Belgium,1597
1999,Bosnia and Herzegovina,
1999,Bulgaria,7780
1999,Croatia,6313
1999,Cyprus,1422
1999,Czech Republic,18775
1999,Denmark,42670
1999,Estonia,200
1999,Faeroe Islands (DK),42544
1999,Finland,15449
1999,France,264857
1999,Germany,79567
1999,Greece,84274
1999,Guernsey and Jersey (Channel Islands),249
1999,Hungary,11947
1999,Iceland,3897
1999,Ireland,43856
1999,Italy,210368
1999,Latvia,468
1999,Lithuania,1650
1999,Malta,2002
1999,Montenegro,
1999,Netherlands,108760
1999,Norway,475932
1999,Poland,33711
1999,Portugal,6268
1999,Romania,8998
1999,Serbia,
1999,Slovakia,872
1999,Slovenia,1206
1999,Spain,318185
1999,Sweden,6004
1999,Switzerland,1135
1999,Turkey,63000
1999,United Kingdom,154800
2000,Albania,307
2000,Austria,2847
2000,Belgium,1871
2000,Bosnia and Herzegovina,
2000,Bulgaria,3654
2000,Croatia,6876
2000,Cyprus,1878
2000,Czech Republic,19475
2000,Denmark,43609
2000,Estonia,225
2000,Faeroe Islands (DK),34823
2000,Finland,15400
2000,France,266802
2000,Germany,65891
2000,Greece,95418
2000,Guernsey and Jersey (Channel Islands),390
2000,Hungary,12886
2000,Iceland,3623
2000,Ireland,51247
2000,Italy,216525
2000,Latvia,325
2000,Lithuania,1996
2000,Malta,1746
2000,Montenegro,
2000,Netherlands,75231
2000,Norway,491329
2000,Poland,35795
2000,Portugal,7537
2000,Romania,9727
2000,Serbia,
2000,Slovakia,887
2000,Slovenia,1181
2000,Spain,309035
2000,Sweden,4834
2000,Switzerland,1100
2000,Turkey,79031
2000,United Kingdom,152485
2001,Albania,286
2001,Austria,2393
2001,Belgium,1830
2001,Bosnia and Herzegovina,
2001,Bulgaria,2938
2001,Croatia,10468
2001,Cyprus,1883
2001,Czech Republic,20098
2001,Denmark,41573
2001,Estonia,467
2001,Faeroe Islands (DK),49167
2001,Finland,15739
2001,France,251655
2001,Germany,53409
2001,Greece,97512
2001,Guernsey and Jersey (Channel Islands),487
2001,Hungary,13056
2001,Iceland,4371
2001,Ireland,60940
2001,Italy,218330
2001,Latvia,463
2001,Lithuania,2001
2001,Malta,1235
2001,Montenegro,
2001,Netherlands,57042
2001,Norway,510748
2001,Poland,35460
2001,Portugal,8209
2001,Romania,10818
2001,Serbia,
2001,Slovakia,999
2001,Slovenia,1262
2001,Spain,308915
2001,Sweden,6773
2001,Switzerland,1135
2001,Turkey,67244
2001,United Kingdom,170516
2002,Albania,860
2002,Austria,2333
2002,Belgium,1834
2002,Bosnia and Herzegovina,4685
2002,Bulgaria,2308
2002,Croatia,8991
2002,Cyprus,1862
2002,Czech Republic,19210
2002,Denmark,32026
2002,Estonia,257
2002,Faeroe Islands (DK),56102
2002,Finland,15132
2002,France,251770
2002,Germany,49852
2002,Greece,87928
2002,Guernsey and Jersey (Channel Islands),580
2002,Hungary,11574
2002,Iceland,3585
2002,Ireland,62568
2002,Italy,184285
2002,Latvia,430
2002,Lithuania,1750
2002,Malta,1116
2002,Montenegro,
2002,Netherlands,54429
2002,Norway,551297
