year,country,crop,area
2008,Belgium,Utilised Agricultural Area,0
2008,Belgium,Arable land,0
2008,Belgium,Cereals for the production of grain (including seed),291.4
2008,Belgium,Cereals (excluding rice) for the production of grain (including seed),291.4
2008,Belgium,Wheat and spelt,224
2008,Belgium,Common wheat and spelt,224
2008,Belgium,Common winter wheat and spelt,221.4
2008,Belgium,Common spring wheat and spelt,2.6
2008,Belgium,Durum wheat,0
2008,Belgium,Rye and winter cereal mixtures (maslin),0.5
2008,Belgium,Rye,0
2008,Belgium,Winter cereal mixtures (maslin),0
2008,Belgium,Barley,55
2008,Belgium,Winter barley,48.8
2008,Belgium,Spring barley,6.2
2008,Belgium,Oats and spring cereal mixtures (mixed grain other than maslin),5.2
2008,Belgium,Oats,5.2
2008,Belgium,Spring cereal mixtures (mixed grain other than maslin),0
2008,Belgium,Grain maize and corn-cob-mix,0
2008,Belgium,Triticale,6.1
2008,Belgium,Sorghum,0
2008,Belgium,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",0.6
2008,Belgium,Rice,0
2008,Belgium,Rice Indica,0
2008,Belgium,Rice Japonica,0
2008,Belgium,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),1.1
2008,Belgium,Field peas,0.8
2008,Belgium,Broad and field beans,0.3
2008,Belgium,Sweet lupins,0
2008,Belgium,Other dry pulses and protein crops n.e.c.,0
2008,Belgium,Root crops,132.6
2008,Belgium,Potatoes (including seed potatoes),0
2008,Belgium,Sugar beet (excluding seed),0
2008,Belgium,Other root crops n.e.c.,0
2008,Belgium,Industrial crops,33.6
2008,Belgium,Oilseeds,8.6
2008,Belgium,"Rape, turnip rape, sunflower seeds and soya",8.6
2008,Belgium,Rape and turnip rape seeds,8.6
2008,Belgium,Winter rape and turnip rape seeds,0
2008,Belgium,Spring rape and turnip rape seeds,0
2008,Belgium,Sunflower seed,0
2008,Belgium,Soya,0
2008,Belgium,Linseed (oilflax),0
2008,Belgium,Cotton seed,0
2008,Belgium,Other oilseed crops n.e.c.,0
2008,Belgium,Fibre crops,11.8
2008,Belgium,Fibre flax,11.8
2008,Belgium,Hemp,0
2008,Belgium,Cotton fibre,0
2008,Belgium,Other fibre crops n.e.c.,0
2008,Belgium,Tobacco,0
2008,Belgium,Hops,0.2
2008,Belgium,"Aromatic, medicinal and culinary plants",0.2
2008,Belgium,Energy crops n.e.c.,0
2008,Belgium,Other industrial crops n.e.c.,0.7
2008,Belgium,Plants harvested green from arable land,267.1
2008,Belgium,Temporary grasses and grazings,80.5
2008,Belgium,Leguminous plants harvested green,4.4
2008,Belgium,Lucerne,0
2008,Belgium,Other leguminous plants harvested green n.e.c.,4.3
2008,Belgium,Clover and mixtures,0
2008,Belgium,Green maize,0
2008,Belgium,Other cereals harvested green (excluding green maize),0
2008,Belgium,Other plants harvested green from arable land n.e.c.,5.6
2008,Belgium,Fresh vegetables (including melons) and strawberries,61.56
2008,Belgium,Fresh vegetables (including melons),60.01
2008,Belgium,Brassicas,9.3
2008,Belgium,Cauliflower and broccoli,5.19
2008,Belgium,Brussels sprouts,2.7
2008,Belgium,Cabbages,0.38
2008,Belgium,Other brassicas n.e.c,1.03
2008,Belgium,Kohlrabi,0.1
2008,Belgium,Leafy and stalked vegetables (excluding brassicas),22.93
2008,Belgium,Leeks,4.2
2008,Belgium,Celery,0.34
2008,Belgium,Lettuces,1.99
2008,Belgium,Lettuces - under glass or high accessible cover,0
2008,Belgium,Endives,0.19
2008,Belgium,Spinach,4.06
2008,Belgium,Asparagus,0.21
2008,Belgium,Chicory,11.65
2008,Belgium,Chicory for fresh consumption,2.75
2008,Belgium,Chicory for processing,8.9
2008,Belgium,Artichokes,0
2008,Belgium,Other leafy or stalked vegetables n.e.c.,0.31
2008,Belgium,Vegetables cultivated for fruit (including melons),1.32
2008,Belgium,Tomatoes,0.51
2008,Belgium,Tomatoes for fresh consumption,0
2008,Belgium,Tomatoes for processing,0
2008,Belgium,Tomatoes - under glass or high accessible cover,0
2008,Belgium,Cucumbers,0.06
2008,Belgium,Cucumbers - under glass or high accessible cover,0
2008,Belgium,Gherkins,0
2008,Belgium,Eggplants,0.01
2008,Belgium,Courgettes and marrows,0.51
2008,Belgium,Gourds and pumpkins,0.13
2008,Belgium,Muskmelons,0
2008,Belgium,Watermelons,0
2008,Belgium,Peppers (capsicum),0.1
2008,Belgium,Peppers (capsicum) - under glass or high accessible cover,0
2008,Belgium,Other vegetables cultivated for fruit n.e.c.,0
2008,Belgium,"Root, tuber and bulb vegetables",7.77
2008,Belgium,Carrots,4.65
2008,Belgium,Onions,1.39
2008,Belgium,Shallots,0
2008,Belgium,Beetroot,0
2008,Belgium,Celeriac,0.7
