year,country,crop,quantity
2012,Czech Republic,Rice,0
2012,Czech Republic,Fibre crops,0
2012,Czech Republic,Tobacco,0
2012,Czech Republic,Nectarines,0
2012,Czech Republic,Fruits from subtropical and tropical climate zones,0
2012,Czech Republic,Citrus fruits,0
2012,Czech Republic,Olives,0
2012,Czech Republic,Cultivated mushrooms,0
2012,Estonia,Durum wheat,0
2012,Estonia,Grain maize and corn-cob-mix,0
2012,Estonia,Rice,0
2012,Estonia,Sugar beet (excluding seed),0
2012,Estonia,Fibre crops,0
2012,Estonia,Tobacco,0
2012,Estonia,Hops,0
2012,Spain,Sugar beet (excluding seed),0
2012,Spain,Linseed (oilflax),0
2012,Spain,Tobacco,0
2012,Spain,Hops,0
2012,Croatia,Durum wheat,0
2012,Croatia,Rice,0
2012,Croatia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),0
2012,Croatia,Sugar beet (excluding seed),0
2012,Croatia,Other root crops n.e.c.,0
2012,Croatia,Rape and turnip rape seeds,0
2012,Croatia,Linseed (oilflax),0
2012,Croatia,Fibre crops,0
2012,Croatia,Tobacco,0
2012,Croatia,Hops,0
2012,Croatia,Nectarines,0
2012,Croatia,Citrus fruits,0
2012,Croatia,Other permanent crops for human consumption n.e.c.,0
2012,Italy,Tobacco,0
2012,Latvia,Grain maize and corn-cob-mix,0
2012,Latvia,Rice,0
2012,Latvia,Sunflower seed,0
2012,Latvia,Other fresh vegetables n.e.c.,0
2012,Latvia,Peaches,0
2012,Latvia,Nectarines,0
2012,Latvia,Apricots,0
2012,Latvia,Cultivated mushrooms,0
2012,Lithuania,Durum wheat,0
2012,Lithuania,Grain maize and corn-cob-mix,0
2012,Lithuania,Rice,0
2012,Lithuania,Sugar beet (excluding seed),0
2012,Lithuania,Linseed (oilflax),0
2012,Lithuania,Tobacco,0
2012,Lithuania,Hops,0
2012,Lithuania,Peaches,0
2012,Lithuania,Nectarines,0
2012,Lithuania,Apricots,0
2012,Lithuania,Fruits from subtropical and tropical climate zones,0
2012,Lithuania,Citrus fruits,0
2012,Lithuania,Grapes,0
2012,Lithuania,Olives,0
2012,Lithuania,Cultivated mushrooms,0
2012,Luxembourg,Durum wheat,0
2012,Luxembourg,Rice,0
2012,Luxembourg,Sugar beet (excluding seed),0
2012,Luxembourg,Sunflower seed,0
2012,Luxembourg,Soya,0
2012,Luxembourg,Fibre crops,0
2012,Luxembourg,Tobacco,0
2012,Luxembourg,Hops,0
2012,Luxembourg,Peaches,0
2012,Luxembourg,Nectarines,0
2012,Luxembourg,Apricots,0
2012,Luxembourg,Fruits from subtropical and tropical climate zones,0
2012,Luxembourg,Citrus fruits,0
2012,Luxembourg,Olives,0
2012,Luxembourg,Other permanent crops for human consumption n.e.c.,0
2012,Hungary,Fibre crops,0
2012,Hungary,Hops,0
2012,Hungary,Fruits from subtropical and tropical climate zones,0
2012,Hungary,Citrus fruits,0
2012,Hungary,Olives,0
2012,Poland,Rice,0
2012,Slovenia,Common wheat and spelt,0
2012,Slovenia,Durum wheat,0
2012,Slovenia,Rice,0
2012,Slovenia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),0
2012,Slovenia,Sugar beet (excluding seed),0
2012,Slovenia,Fibre crops,0
2012,Slovenia,Tobacco,0
2012,Slovenia,Hops,0
2012,Slovenia,Nectarines,0
2012,Slovenia,Citrus fruits,0
2012,Slovakia,Durum wheat,0
2012,Slovakia,Rice,0
2012,Slovakia,Sugar beet (excluding seed),0
2012,Slovakia,Linseed (oilflax),0
2012,Slovakia,Cotton seed,0
