year,country,source_of_gas,emission_quantity
2005,Malta,Managed agricultural soils,0.02900
2005,Hungary,Manure management,1.1172
2005,Italy,Livestock,19.952
2005,Malta,Manure management,0.03361
2005,Malta,Enteric fermentation,0.04029
2005,Malta,Livestock,0.0739
2005,Iceland,Manure management,0.08641
2005,Luxembourg,Manure management,0.09557
2005,Malta,Agriculture,0.1029
2005,Estonia,Manure management,0.12723
2005,Cyprus,Managed agricultural soils,0.14347
2005,Luxembourg,Managed agricultural soils,0.15115
2005,Latvia,Manure management,0.21136
2005,Cyprus,Enteric fermentation,0.23508
2005,Cyprus,Manure management,0.27228
2005,Iceland,Enteric fermentation,0.27603
2005,Iceland,Managed agricultural soils,0.31192
2005,Iceland,Livestock,0.36244
2005,Luxembourg,Enteric fermentation,0.38649
2005,Slovenia,Manure management,0.38888
2005,Croatia,Manure management,0.39287
2005,Estonia,Managed agricultural soils,0.42423
2005,Slovenia,Managed agricultural soils,0.44793
2005,Lithuania,Manure management,0.4612
2005,Luxembourg,Livestock,0.48206
2005,Estonia,Enteric fermentation,0.50579
2005,Cyprus,Livestock,0.50736
2005,Slovakia,Manure management,0.59286
2005,Sweden,Manure management,0.6062
2005,Estonia,Livestock,0.63302
2005,Luxembourg,Agriculture,0.63712
2005,Cyprus,Agriculture,0.65202
2005,Iceland,Agriculture,0.67443
2005,Finland,Manure management,0.72438
2005,Latvia,Enteric fermentation,0.75265
2005,Bulgaria,Manure management,0.83738
2005,Austria,Manure management,0.89476
2005,Slovenia,Enteric fermentation,0.91389
2005,Latvia,Livestock,0.96401
2005,Estonia,Agriculture,1.08323
2005,Slovakia,Enteric fermentation,1.13589
2005,Greece,Manure management,1.16417
2005,Croatia,Enteric fermentation,1.16947
2005,Slovenia,Livestock,1.30277
2005,Latvia,Managed agricultural soils,1.30379
2005,Croatia,Managed agricultural soils,1.30982
2005,Portugal,Manure management,1.37204
2005,Slovakia,Managed agricultural soils,1.45484
2005,Lithuania,Managed agricultural soils,1.54429
2005,Croatia,Livestock,1.56234
2005,Lithuania,Enteric fermentation,1.67597
2005,Slovakia,Livestock,1.72875
2005,Ireland,Manure management,1.77628
2005,Slovenia,Agriculture,1.78197
2005,Bulgaria,Enteric fermentation,1.80646
2005,Austria,Managed agricultural soils,1.87468
2005,Hungary,Enteric fermentation,1.91748
2005,Belgium,Manure management,1.93322
2005,Portugal,Managed agricultural soils,1.98853
2005,Belgium,Agriculture,10.24399
2005,Spain,Manure management,10.47875
2005,Romania,Enteric fermentation,10.82645
2005,Ireland,Enteric fermentation,10.84314
2005,Germany,Manure management,10.86803
2005,Italy,Managed agricultural soils,10.8793
2005,Denmark,Agriculture,10.96576
2005,Poland,Enteric fermentation,11.77806
2005,Poland,Managed agricultural soils,12.08471
2005,Netherlands,Livestock,12.49701
2005,Ireland,Livestock,12.61942
2005,Spain,Managed agricultural soils,12.65149
2005,Spain,Enteric fermentation,13.60114
2005,Romania,Livestock,13.80338
2005,Italy,Enteric fermentation,13.89773
2005,United Kingdom,Managed agricultural soils,14.52454
2005,Poland,Livestock,15.91722
2005,Netherlands,Agriculture,18.74644
2005,Romania,Agriculture,19.0339
2005,Ireland,Agriculture,19.19219
2005,Finland,Enteric fermentation,2.06114
2005,Lithuania,Livestock,2.13717
2005,Latvia,Agriculture,2.27081
2005,Bulgaria,Managed agricultural soils,2.30147
2005,Czech Republic,Manure management,2.5215
2005,Bulgaria,Livestock,2.64384
2005,Finland,Livestock,2.78552
2005,Czech Republic,Managed agricultural soils,2.82683
2005,Czech Republic,Enteric fermentation,2.84841
2005,Hungary,Managed agricultural soils,2.87988
2005,Croatia,Agriculture,2.95762
2005,Romania,Manure management,2.97693
2005,Spain,Livestock,24.07988
2005,Germany,Managed agricultural soils,24.50847
