year,country,quantity
2011,Belgium,3927.14
2011,Bulgaria,1126
2011,Czech Republic,2735.6
2011,Denmark,4799.9
2011,Germany,30336.4
2011,Estonia,692.4
2011,Ireland,5556.2
2011,Greece,638.9
2011,Spain,6487.86
2011,France,25091.93
2011,Croatia,803
2011,Italy,11298.61
2011,Cyprus,156.02
2011,Latvia,841.7
2011,Lithuania,1782.32
2011,Luxembourg,292.25
2011,Hungary,1712.48
2011,Malta,0
2011,Netherlands,11642
2011,Austria,3307.13
2011,Poland,12414
2011,Portugal,1918.52
2011,Romania,4075
2011,Slovenia,601.59
2011,Slovakia,928.3
2011,Finland,2300.73
2011,Sweden,2850.4
2011,United Kingdom,14088
2011,Iceland,0
2011,Montenegro,0
2011,Turkey,7073.95
2012,Belgium,3882.31
2012,Bulgaria,1093
2012,Czech Republic,2814.68
2012,Denmark,5006.4
2012,Germany,30685.2
2012,Estonia,720.7
2012,Ireland,5399.3
2012,Greece,637.4
2012,Spain,6502.41
2012,France,24718.38
2012,Croatia,810
2012,Italy,11425.75
2012,Cyprus,153.74
2012,Latvia,870.6
2012,Lithuania,1774.53
2012,Luxembourg,289.4
2012,Hungary,1812.85
2012,Malta,0
2012,Netherlands,11675
2012,Austria,3382
2012,Poland,12668
2012,Portugal,1938.13
2012,Romania,3881
2012,Slovenia,0
2012,Slovakia,932.71
2012,Finland,2296.68
2012,Sweden,2861.17
2012,United Kingdom,13857
2012,Iceland,0
2012,Montenegro,149.6
2012,Turkey,7932.49
2013,Belgium,3474.77
2013,Bulgaria,1149
2013,Czech Republic,2849.43
2013,Denmark,5025.4
2013,Germany,31337.8
2013,Estonia,771.6
2013,Ireland,5600.7
2013,Greece,606.6
2013,Spain,6559.18
2013,France,24459.76
2013,Croatia,717
2013,Italy,11281.26
2013,Cyprus,163.27
2013,Latvia,912
2013,Lithuania,1719.51
2013,Luxembourg,295.86
2013,Hungary,1772.76
2013,Malta,40.92
2013,Netherlands,12212
2013,Austria,3393.06
2013,Poland,0
2013,Portugal,1850.6
2013,Romania,3966
2013,Slovenia,595.5
2013,Slovakia,911.96
2013,Finland,2327.82
2013,Sweden,0
2013,United Kingdom,13949
2013,Iceland,0
2013,Montenegro,172.75
2013,Turkey,16655.2
2014,Belgium,3689.43
2014,Bulgaria,1103
2014,Czech Republic,2933.46
2014,Denmark,5112.5
2014,Germany,32395
2014,Estonia,804.8
2014,Ireland,5821.3
2014,Greece,769.05
2014,Spain,6779.75
2014,France,25728.32
2014,Croatia,711
2014,Italy,0
2014,Cyprus,164.64
2014,Latvia,968.9
2014,Lithuania,1791.13
2014,Luxembourg,317.05
2014,Hungary,1875.72
2014,Malta,42.77
2014,Netherlands,12473
2014,Austria,3493.86
2014,Poland,12986
2014,Portugal,2000.29
2014,Romania,4101
2014,Slovenia,616.58
2014,Slovakia,930.71
2014,Finland,2400.01
2014,Sweden,2931.25
2014,United Kingdom,15088
2014,Iceland,0
2014,Montenegro,178.12
2014,Turkey,16998.6
2015,Belgium,3825.56
2015,Bulgaria,1028
2015,Czech Republic,3025.88
2015,Denmark,0
2015,Germany,32670.9
2015,Estonia,782.7
2015,Ireland,6585.12
2015,Greece,770.01
2015,Spain,7029.48
2015,France,25850.93
2015,Croatia,694
2015,Italy,11425.94
2015,Cyprus,0
2015,Latvia,975.4
2015,Lithuania,1734.73
2015,Luxembourg,346.25
2015,Hungary,1941.33
2015,Malta,41.57
2015,Netherlands,13331
2015,Austria,3537.76
2015,Poland,13236
2015,Portugal,2013.78
2015,Romania,3981
2015,Slovenia,631.67
2015,Slovakia,930.98
2015,Finland,2436.76
2015,Sweden,2933.16
2015,United Kingdom,15447
2015,Iceland,0
2015,Montenegro,0
2015,Turkey,16933.55
