id;product;name;quality;prefecture;region;longitude;latitude
1;Τυριά;Φέτα;ΠΟΠ;Αιτωλοακαρνανίας;Δυτικής Ελλάδας;21.38155014;38.68100436
2;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Αιτωλοακαρνανίας;Δυτικής Ελλάδας;21.38155014;38.68100436
3;Ψάρια-Μαλάκια;Αυγοτάραχο Μεσολογγίου;ΠΟΠ;Αιτωλοακαρνανίας;Δυτικής Ελλάδας;21.38155014;38.68100436
4;Φρούτα και Λαχανικά;Σύκα Βραβρώνας Μαρκοπούλου Μεσογείων;ΠΓΕ;Ανατολικής Αττικής;Αττικής;23.88886413;38.03300782
5;Τυριά;Φέτα;ΠΟΠ;Ανατολικής Αττικής;Αττικής;23.88886413;38.03300782
6;Ελαιόλαδο;Κρανίδι Αργολίδας;ΠΟΠ;Αργολίδας;Πελοποννήσου;22.86698498;37.59790948
7;Ελαιόλαδο;Λυγουριό Ασκληπιείου;ΠΟΠ;Αργολίδας;Πελοποννήσου;22.86698498;37.59790948
8;Τυριά;Φέτα;ΠΟΠ;Αργολίδας;Πελοποννήσου;22.86698498;37.59790948
9;Φρούτα και Λαχανικά;Τσακώνικη Μελιτζάνα Λεωνιδίου;ΠΟΠ;Αρκαδίας;Πελοποννήσου;22.32865254;37.46427063
10;Φρούτα και Λαχανικά;Μήλα Ντελίσιους Πιλαφά Τριπόλεως;ΠΟΠ;Αρκαδίας;Πελοποννήσου;22.32865254;37.46427063
11;Τυριά;Φέτα;ΠΟΠ;Αρκαδίας;Πελοποννήσου;22.32865254;37.46427063
12;Άλλα ζωικής προέλευσης;Μέλι Ελάτης Μαινάλου Βανίλια;ΠΟΠ;Αρκαδίας;Πελοποννήσου;22.32865254;37.46427063
13;Ελιές;Κονσερβολιά Άρτας;ΠΓΕ;Άρτας;Ηπείρου;21.11301687;39.25375061
14;Τυριά;Φέτα;ΠΟΠ;Άρτας;Ηπείρου;21.11301687;39.25375061
15;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Άρτας;Ηπείρου;21.11301687;39.25375061
16;Τυριά;Γαλοτύρι;ΠΟΠ;Άρτας;Ηπείρου;21.11301687;39.25375061
17;Φρούτα και Λαχανικά;Κορινθιακή Σταφίδα Βοστίτσα;ΠΟΠ;Αχαΐας;Δυτικής Ελλάδας;21.90125991;38.05933334
18;Τυριά;Φέτα;ΠΟΠ;Αχαΐας;Δυτικής Ελλάδας;21.90125991;38.05933334
19;Τυριά;Φορμαέλλα Αραχώβης Παρνασσού;ΠΟΠ;Βοιωτίας;Στερεάς Ελλάδας;23.08907706;38.37004684
20;Τυριά;Φέτα;ΠΟΠ;Βοιωτίας;Στερεάς Ελλάδας;23.08907706;38.37004684
21;Τυριά;Φέτα;ΠΟΠ;Βορείου Τομέα Αθηνών;Αττικής;23.803897;38.084653
22;Τυριά;Ανεβατό;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
23;Τυριά;Μπάτζος;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
24;Τυριά;Φέτα;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
25;Τυριά;Κασέρι;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
26;Τυριά;Μανούρι;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
27;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Γρεβενών;Δυτικής Μακεδονίας;21.43377444;40.02479762
28;Φρούτα και Λαχανικά;Πατάτα Κάτω Νευροκοπίου;ΠΓΕ;Δράμας;Ανατολικής Μακεδονίας και Θράκης;24.18442744;41.29996425
29;Όσπρια;Φασόλια Γίγαντες-Ελέφαντες Κάτω Νευροκοπίου;ΠΓΕ;Δράμας;Ανατολικής Μακεδονίας και Θράκης;24.18442744;41.29996425
30;Όσπρια;Φασόλια Γίγαντες-Μεσόσπερμα Κάτω Νευροκοπίου;ΠΓΕ;Δράμας;Ανατολικής Μακεδονίας και Θράκης;24.18442744;41.29996425
31;Τυριά;Φέτα;ΠΟΠ;Δράμας;Ανατολικής Μακεδονίας και Θράκης;24.18442744;41.29996425
32;Τυριά;Κασέρι;ΠΟΠ;Δράμας;Ανατολικής Μακεδονίας και Θράκης;24.18442744;41.29996425
33;Ξηροί Καρποί;Φυστίκι Μεγάρων;ΠΟΠ;Δυτικής Αττικής;Αττικής;23.39672763;38.09524622
34;Τυριά;Φέτα;ΠΟΠ;Δυτικής Αττικής;Αττικής;23.39672763;38.09524622
35;Τυριά;Φέτα;ΠΟΠ;Δυτικού Τομέα Αθηνών;Αττικής;23.688364;38.018294
36;Ελαιόλαδο;Ρόδος;ΠΓΕ;Δωδεκανήσου;Νοτίου Αιγαίου;27.53332047;36.30332001
37;Τυριά;Φέτα;ΠΟΠ;Έβρου;Ανατολικής Μακεδονίας και Θράκης;26.15435291;41.20235312
38;Ξηροί Καρποί;Κελυφωτό Φυστίκι Φθιώτιδας;ΠΟΠ;Ευβοίας;Στερεάς Ελλάδας;23.81804122;38.5619481
39;Ελιές;Κονσερβολιά Ροβιών;ΠΟΠ;Ευβοίας;Στερεάς Ελλάδας;23.81804122;38.5619481
40;Τυριά;Φέτα;ΠΟΠ;Ευβοίας;Στερεάς Ελλάδας;23.81804122;38.5619481
41;Τυριά;Φέτα;ΠΟΠ;Ευρυτανίας;Στερεάς Ελλάδας;21.67632162;38.97465543
42;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Ευρυτανίας;Στερεάς Ελλάδας;21.67632162;38.97465543
43;Φρούτα και Λαχανικά;Σταφίδα Ζακύνθου;ΠΟΠ;Ζακύνθου;Ιονίων νήσων;20.77531542;37.78346133
44;Ελαιόλαδο;Ζάκυνθος;ΠΓΕ;Ζακύνθου;Ιονίων νήσων;20.77531542;37.78346133
45;Ελαιόλαδο;Ολυμπία;ΠΓΕ;Ηλείας;Δυτικής Ελλάδας;21.56613294;37.73126171
46;Φρούτα και Λαχανικά;Σταφίδα Ηλείας;ΠΓΕ;Ηλείας;Δυτικής Ελλάδας;21.56613294;37.73126171
47;Τυριά;Φέτα;ΠΟΠ;Ηλείας;Δυτικής Ελλάδας;21.56613294;37.73126171
48;Φρούτα και Λαχανικά;Κεράσια τραγανά Ροδοχωρίου;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
49;Φρούτα και Λαχανικά;Ροδάκινα Νάουσας;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
50;Τυριά;Μπάτζος;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
51;Τυριά;Φέτα;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
52;Τυριά;Κασέρι;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
53;Τυριά;Μανούρι;ΠΟΠ;Ημαθίας;Κεντρικής Μακεδονίας;22.23253433;40.55086066
54;Ελαιόλαδο;Βιάννος Ηρακλείου Κρήτης;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
55;Ελαιόλαδο;Πεζά Ηρακλείου Κρήτης;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
56;Ελαιόλαδο;Αρχάνες Ηρακλείου Κρήτης;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
57;Ελαιόλαδο;Εξαιρετικό παρθένο ελαιόλαδο Θραψανό;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
58;Τυριά;Γραβιέρα Κρήτης;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
59;Τυριά;Ξυνομυζήθρα Κρήτης;ΠΟΠ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
60;Αρτοποιίας;Κρητικό Παξιμάδι;ΠΓΕ;Ηρακλείου;Κρήτης;25.11992504;35.14011958
61;Ελαιόλαδο;Θάσος;ΠΓΕ;Θάσου;Ανατολικής Μακεδονίας και Θράκης;24.645623;40.687535
62;Ελιές;Θρούμπα Θάσου;ΠΟΠ;Θάσου;Ανατολικής Μακεδονίας και Θράκης;24.645623;40.687535
63;Τυριά;Φέτα;ΠΟΠ;Θάσου;Ανατολικής Μακεδονίας και Θράκης;24.645623;40.687535
64;Τυριά;Κασέρι;ΠΟΠ;Θάσου;Ανατολικής Μακεδονίας και Θράκης;24.645623;40.687535
65;Τυριά;Φέτα;ΠΟΠ;Θεσπρωτίας;Ηπείρου;20.40638044;39.52354443
66;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Θεσπρωτίας;Ηπείρου;20.40638044;39.52354443
67;Τυριά;Γαλοτύρι;ΠΟΠ;Θεσπρωτίας;Ηπείρου;20.40638044;39.52354443
68;Τυριά;Μπάτζος;ΠΟΠ;Θεσσαλονίκης;Κεντρικής Μακεδονίας;23.11642141;40.68985512
69;Τυριά;Φέτα;ΠΟΠ;Θεσσαλονίκης;Κεντρικής Μακεδονίας;23.11642141;40.68985512
70;Τυριά;Κασέρι;ΠΟΠ;Θεσσαλονίκης;Κεντρικής Μακεδονίας;23.11642141;40.68985512
71;Τυριά;Μανούρι;ΠΟΠ;Θεσσαλονίκης;Κεντρικής Μακεδονίας;23.11642141;40.68985512
72;Τυριά;Μετσοβόνε;ΠΟΠ;Ιωαννίνων;Ηπείρου;20.80815693;39.81110703
73;Τυριά;Φέτα;ΠΟΠ;Ιωαννίνων;Ηπείρου;20.80815693;39.81110703
74;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Ιωαννίνων;Ηπείρου;20.80815693;39.81110703
75;Τυριά;Γαλοτύρι;ΠΟΠ;Ιωαννίνων;Ηπείρου;20.80815693;39.81110703
76;Τυριά;Φέτα;ΠΟΠ;Καβάλας;Ανατολικής Μακεδονίας και Θράκης;24.4348557;40.90653226
77;Τυριά;Κασέρι;ΠΟΠ;Καβάλας;Ανατολικής Μακεδονίας και Θράκης;24.4348557;40.90653226
78;Τυριά;Γραβιέρα Αγράφων;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
79;Τυριά;Φέτα;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
80;Τυριά;Κασέρι;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
81;Τυριά;Μανούρι;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
82;Τυριά;Γαλοτύρι;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
83;Τυριά;Μπάτζος;ΠΟΠ;Καρδίτσας;Θεσσαλίας;21.88010822;39.313506
84;Φρούτα και Λαχανικά;Μήλο Καστοριάς;ΠΓΕ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
85;Όσπρια;Φασόλια Γίγαντες-Ελέφαντες Καστοριάς;ΠΓΕ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
86;Τυριά;Μπάτζος;ΠΟΠ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
87;Τυριά;Φέτα;ΠΟΠ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
88;Τυριά;Κασέρι;ΠΟΠ;Καστοριάς;Δυτικής Μακεδονίας;21.15733756;40.46372934
