year,country,wine_type,activity_type,quantity
2006,Austria,Vermouth,Official production (1000 hl),0
2006,Austria,Vermouth,Most intended for the production of grape juice (1000 hl),0
2006,Austria,Vermouth,Usable production (1000 hl),0
2006,Austria,Vermouth,Total production other than for vinification (1000 hl),0
2006,Austria,Vermouth,Losses from evaporation (1000 hl),0
2006,Austria,Vermouth,Imports from EU (1000 t),0
2006,Austria,Vermouth,Imports from third countries (1000 hl),0
2006,Austria,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2006,Austria,Vermouth,Gross human consumption (1000 hl),0
2006,Austria,Vermouth,Degree of self-sufficiency (%),0
2006,Austria,Vermouth,Vinegar manufacture (1000 hl),0
2006,Austria,Vermouth,Imports0 bottled (1000 hl),0
2006,Austria,Vermouth,Exports0 bottled (1000 hl),0
2006,Austria,Wine - Total,Official production (1000 hl),2264
2006,Austria,Wine - Total,Most intended for the production of grape juice (1000 hl),38.7
2006,Austria,Wine - Total,Usable production (1000 hl),2225.3
2006,Austria,Wine - Total,Total production other than for vinification (1000 hl),38.7
2006,Austria,Wine - Total,Losses from evaporation (1000 hl),0
2006,Austria,Wine - Total,Imports from EU (1000 t),660.8
2006,Austria,Wine - Total,Imports from third countries (1000 hl),35.4
2006,Austria,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),559.2
2006,Austria,Wine - Total,Gross human consumption (1000 hl),2643.5
2006,Austria,Wine - Total,Degree of self-sufficiency (%),83217
2006,Austria,Wine - Total,Vinegar manufacture (1000 hl),6.5
2006,Austria,Wine - Total,Imports0 bottled (1000 hl),25.5
2006,Austria,Wine - Total,Exports0 bottled (1000 hl),31
2006,Austria,Red and rose wine,Official production (1000 hl),0
2006,Austria,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2006,Austria,Red and rose wine,Usable production (1000 hl),0
2006,Austria,Red and rose wine,Total production other than for vinification (1000 hl),0
2006,Austria,Red and rose wine,Losses from evaporation (1000 hl),0
2006,Austria,Red and rose wine,Imports from EU (1000 t),0
2006,Austria,Red and rose wine,Imports from third countries (1000 hl),0
2006,Austria,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2006,Austria,Red and rose wine,Gross human consumption (1000 hl),0
2006,Austria,Red and rose wine,Degree of self-sufficiency (%),81
2006,Austria,Red and rose wine,Vinegar manufacture (1000 hl),0
2006,Austria,Red and rose wine,Imports0 bottled (1000 hl),0
2006,Austria,Red and rose wine,Exports0 bottled (1000 hl),0
2006,Austria,White wine,Official production (1000 hl),1450.1
2006,Austria,White wine,Most intended for the production of grape juice (1000 hl),28.9
2006,Austria,White wine,Usable production (1000 hl),1421.2
2006,Austria,White wine,Total production other than for vinification (1000 hl),28.9
2006,Austria,White wine,Losses from evaporation (1000 hl),0
2006,Austria,White wine,Imports from EU (1000 t),368.2
2006,Austria,White wine,Imports from third countries (1000 hl),6.9
2006,Austria,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),312.2
2006,Austria,White wine,Gross human consumption (1000 hl),1693.5
2006,Austria,White wine,Degree of self-sufficiency (%),83135
2006,Austria,White wine,Vinegar manufacture (1000 hl),0
2006,Austria,White wine,Imports0 bottled (1000 hl),4.5
2006,Austria,White wine,Exports0 bottled (1000 hl),20.7
2006,Austria,Quality wines P.S.R. - Total,Official production (1000 hl),2008.3
2006,Austria,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Usable production (1000 hl),2008.3
2006,Austria,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Imports from EU (1000 t),221.8
2006,Austria,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),262.8
2006,Austria,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),2143.9
2006,Austria,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),92805
2006,Austria,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2006,Austria,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),15
2007,Austria,Vermouth,Official production (1000 hl),0
2007,Austria,Vermouth,Most intended for the production of grape juice (1000 hl),0
2007,Austria,Vermouth,Usable production (1000 hl),0
2007,Austria,Vermouth,Total production other than for vinification (1000 hl),0
2007,Austria,Vermouth,Losses from evaporation (1000 hl),0
2007,Austria,Vermouth,Imports from EU (1000 t),0
2007,Austria,Vermouth,Imports from third countries (1000 hl),0
2007,Austria,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Austria,Vermouth,Gross human consumption (1000 hl),0
2007,Austria,Vermouth,Degree of self-sufficiency (%),0
2007,Austria,Vermouth,Vinegar manufacture (1000 hl),0
2007,Austria,Vermouth,Imports0 bottled (1000 hl),0
2007,Austria,Vermouth,Exports0 bottled (1000 hl),0
2007,Austria,Wine - Total,Official production (1000 hl),2256.3
2007,Austria,Wine - Total,Most intended for the production of grape juice (1000 hl),42.9
2007,Austria,Wine - Total,Usable production (1000 hl),2213.4
2007,Austria,Wine - Total,Total production other than for vinification (1000 hl),42.9
2007,Austria,Wine - Total,Losses from evaporation (1000 hl),0
2007,Austria,Wine - Total,Imports from EU (1000 t),704.1
2007,Austria,Wine - Total,Imports from third countries (1000 hl),35
2007,Austria,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),519.5
2007,Austria,Wine - Total,Gross human consumption (1000 hl),2679.7
2007,Austria,Wine - Total,Degree of self-sufficiency (%),81708
2007,Austria,Wine - Total,Vinegar manufacture (1000 hl),5.6
2007,Austria,Wine - Total,Imports0 bottled (1000 hl),25.1
2007,Austria,Wine - Total,Exports0 bottled (1000 hl),36
2007,Austria,Red and rose wine,Official production (1000 hl),0
2007,Austria,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2007,Austria,Red and rose wine,Usable production (1000 hl),0
2007,Austria,Red and rose wine,Total production other than for vinification (1000 hl),0
2007,Austria,Red and rose wine,Losses from evaporation (1000 hl),0
2007,Austria,Red and rose wine,Imports from EU (1000 t),0
2007,Austria,Red and rose wine,Imports from third countries (1000 hl),0
2007,Austria,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Austria,Red and rose wine,Gross human consumption (1000 hl),0
2007,Austria,Red and rose wine,Degree of self-sufficiency (%),1282
2007,Austria,Red and rose wine,Vinegar manufacture (1000 hl),0
2007,Austria,Red and rose wine,Imports0 bottled (1000 hl),0
2007,Austria,Red and rose wine,Exports0 bottled (1000 hl),0
2007,Austria,White wine,Official production (1000 hl),1353.8
2007,Austria,White wine,Most intended for the production of grape juice (1000 hl),28.7
2007,Austria,White wine,Usable production (1000 hl),1325.1
2007,Austria,White wine,Total production other than for vinification (1000 hl),28.7
2007,Austria,White wine,Losses from evaporation (1000 hl),0
2007,Austria,White wine,Imports from EU (1000 t),438.1
2007,Austria,White wine,Imports from third countries (1000 hl),8
2007,Austria,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),352.1
2007,Austria,White wine,Gross human consumption (1000 hl),1627.5
2007,Austria,White wine,Degree of self-sufficiency (%),80426
2007,Austria,White wine,Vinegar manufacture (1000 hl),5.6
2007,Austria,White wine,Imports0 bottled (1000 hl),6.3
2007,Austria,White wine,Exports0 bottled (1000 hl),23
2007,Austria,Quality wines P.S.R. - Total,Official production (1000 hl),2009.6
2007,Austria,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Usable production (1000 hl),2009.6
2007,Austria,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Imports from EU (1000 t),220.4
2007,Austria,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),236.9
2007,Austria,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),2171
2007,Austria,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),91716
2007,Austria,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2007,Austria,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),20
2008,Austria,Vermouth,Official production (1000 hl),0
2008,Austria,Vermouth,Most intended for the production of grape juice (1000 hl),0
2008,Austria,Vermouth,Usable production (1000 hl),0
2008,Austria,Vermouth,Total production other than for vinification (1000 hl),0
2008,Austria,Vermouth,Losses from evaporation (1000 hl),0
2008,Austria,Vermouth,Imports from EU (1000 t),0
2008,Austria,Vermouth,Imports from third countries (1000 hl),0
2008,Austria,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2008,Austria,Vermouth,Gross human consumption (1000 hl),0
2008,Austria,Vermouth,Degree of self-sufficiency (%),0
2008,Austria,Vermouth,Vinegar manufacture (1000 hl),0
2008,Austria,Vermouth,Imports0 bottled (1000 hl),0
2008,Austria,Vermouth,Exports0 bottled (1000 hl),0
2008,Austria,Wine - Total,Official production (1000 hl),2628
2008,Austria,Wine - Total,Most intended for the production of grape juice (1000 hl),49.9
2008,Austria,Wine - Total,Usable production (1000 hl),2578.1
2008,Austria,Wine - Total,Total production other than for vinification (1000 hl),49.9
2008,Austria,Wine - Total,Losses from evaporation (1000 hl),0
2008,Austria,Wine - Total,Imports from EU (1000 t),0
2008,Austria,Wine - Total,Imports from third countries (1000 hl),41.6
2008,Austria,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),584.7
2008,Austria,Wine - Total,Gross human consumption (1000 hl),2410.2
2008,Austria,Wine - Total,Degree of self-sufficiency (%),105379
2008,Austria,Wine - Total,Vinegar manufacture (1000 hl),9
2008,Austria,Wine - Total,Imports0 bottled (1000 hl),29.4
2008,Austria,Wine - Total,Exports0 bottled (1000 hl),44.8
2008,Austria,Red and rose wine,Official production (1000 hl),0
2008,Austria,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2008,Austria,Red and rose wine,Usable production (1000 hl),0
2008,Austria,Red and rose wine,Total production other than for vinification (1000 hl),0
2008,Austria,Red and rose wine,Losses from evaporation (1000 hl),0
2008,Austria,Red and rose wine,Imports from EU (1000 t),0
2008,Austria,Red and rose wine,Imports from third countries (1000 hl),0
2008,Austria,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2008,Austria,Red and rose wine,Gross human consumption (1000 hl),0
