year,region,quantity
2011,Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0
2011,Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0
2011,Vlaams Gewest,2434.12
2011,Prov. Antwerpen,657.07
2011,Prov. Limburg (BE),307.56
2011,Prov. Oost-Vlaanderen,609.3
2011,Prov. Vlaams-Brabant,114.44
2011,Prov. West-Vlaanderen,745.75
2011,Region wallonne,1493.01
2011,Prov. Brabant Wallon,55.77
2011,Prov. Hainaut,423.5
2011,Prov. Liege,616.1
2011,Prov. Luxembourg (BE),189.33
2011,Prov. Namur,208.32
2011,Severna i yugoiztochna Bulgaria,719
2011,Severozapaden,138
2011,Severen tsentralen,136
2011,Severoiztochen,152
2011,Yugoiztochen,293
2011,Yugozapadna i yuzhna tsentralna Bulgaria,407
2011,Yugozapaden,106
2011,Yuzhen tsentralen,301
2011,Ceske republika,2735.6
2011,Praha,2.87
2011,Stredne Cechy,345.58
2011,Jihozepad,608.64
2011,Severozepad,103.4
2011,Severovechod,537.1
2011,Jihovechod,630.23
2011,Stredne Morava,349.3
2011,Moravskoslezsko,158.48
2011,Danmark,4799.9
2011,Hovedstaden,72
2011,Sjelland,163.2
2011,Syddanmark,1968
2011,Midtjylland,1463.9
2011,Nordjylland,1132.8
2011,Baden-Werttemberg,2286
2011,Stuttgart,666.2
2011,Karlsruhe,154.7
2011,Freiburg,403.7
2011,Tebingen,1061.4
2011,Bayern,7931
2011,Oberbayern,2325.6
2011,Niederbayern,999.4
2011,Oberpfalz,1064.9
2011,Oberfranken,606.1
2011,Mittelfranken,766.1
2011,Unterfranken,229.6
2011,Schwaben,1939.3
2011,Berlin,1.1
2011,Berlin,1.1
2011,Brandenburg,1364.1
2011,Brandenburg,1364.1
2011,Brandenburg - Nordost (NUTS 2006),0
2011,Brandenburg - Sedwest (NUTS 2006),0
2011,Bremen,31.1
2011,Bremen,31.1
2011,Hamburg,6.6
2011,Hamburg,6.6
2011,Hessen,1014.1
2011,Darmstadt,205.7
2011,Gieeen,265
2011,Kassel,543.3
2011,Mecklenburg-Vorpommern,1464.7
2011,Mecklenburg-Vorpommern,1464.7
2011,Niedersachsen,5999.4
2011,Braunschweig,200.9
2011,Hannover,517.1
2011,Leneburg,2221
2011,Weser-Ems,3060.3
2011,Nordrhein-Westfalen,3048.7
2011,Desseldorf,810.6
2011,Keln,623.7
2011,Menster,742.7
2011,Detmold,423.4
2011,Arnsberg,448.3
2011,Rheinland-Pfalz,836.8
2011,Koblenz,0
2011,Trier,0
2011,Rheinhessen-Pfalz,0
2011,Saarland,94.9
2011,Saarland,94.9
2011,Sachsen,1604.9
2011,Chemnitz (NUTS 2006),0
2011,Dresden,586.4
2011,Leipzig (NUTS 2006),0
2011,Chemnitz,759
2011,Leipzig,259.6
2011,Sachsen-Anhalt,1051
2011,Sachsen-Anhalt,1051
2011,Dessau (NUTS 1999),0
2011,Halle (NUTS 2003),0
2011,Magdeburg (NUTS 2003),0
2011,Schleswig-Holstein,2664.1
2011,Schleswig-Holstein,2664.1
2011,Theringen,937.7
2011,Theringen,937.7
2011,Eesti,692.4
2011,Eesti,692.4
2011,eire/Ireland,5556.2
2011,"Border, Midland and Western",1110.25
2011,Southern and Eastern,4445.95
2011,Voreia Ellada,0
2011,"Anatoliki Makedonia, Thraki",0
2011,Kentriki Makedonia,0
2011,Dytiki Makedonia,0
2011,Ipeiros,0
2011,Voreia Ellada (NUTS 2010),536.57
2011,"Anatoliki Makedonia, Thraki (NUTS 2010)",109.66
2011,Kentriki Makedonia (NUTS 2010),305.6
2011,Dytiki Makedonia (NUTS 2010),28.27
2011,Thessalia (NUTS 2010),93.05
2011,Kentriki Ellada,0
2011,Thessalia,0
2011,Ionia Nisia,0
2011,Dytiki Ellada,0
2011,Sterea Ellada,0
2011,Peloponnisos,0
2011,Kentriki Ellada (NUTS 2010),74.42
2011,Ipeiros (NUTS 2010),22.1
2011,Ionia Nisia (NUTS 2010),0.12
2011,Dytiki Ellada (NUTS 2010),22.75
2011,Sterea Ellada (NUTS 2010),25.4
2011,Peloponnisos (NUTS 2010),4.05
2011,Attiki,9.32
2011,Attiki,9.32
2011,"Nisia Aigaiou, Kriti",18.59
2011,Voreio Aigaio,2.42
2011,Notio Aigaio,15.85
2011,Kriti,0.33
2011,Noroeste (ES),3520.09
2011,Galicia,2546.23
2011,Principado de Asturias,551.81
2011,Cantabria,422.05
2011,Noreste (ES),496.21
2011,Paes Vasco,183.28
2011,Comunidad Foral de Navarra,191.89
2011,La Rioja,15.16
2011,Aragen,105.88
2011,Comunidad de Madrid,63.7
2011,Comunidad de Madrid,63.7
2011,Centro (ES),1100.18
2011,Castilla y Leen,865.34
2011,Castilla-la Mancha,202.85
2011,Extremadura,32.26
2011,Este (ES),769.2
2011,Cataluea,644.04
2011,Comunidad Valenciana,50.33
2011,Illes Balears,74.82
2011,Sur (ES),504.88
2011,Andalucea,462.2
2011,Regien de Murcia,42.68
2011,Ciudad Autenoma de Ceuta (ES),0
2011,Ciudad Autenoma de Melilla (ES),0
2011,Canarias (ES),33.43
2011,Canarias (ES),33.43
2011,ele de France,50.85
2011,ele de France,50.85
2011,Bassin Parisien,6342.53
2011,Champagne-Ardenne,720.05
2011,Picardie,960.47
2011,Haute-Normandie,905.32
2011,Centre (FR),492.59
2011,Basse-Normandie,2868.97
2011,Bourgogne,395.13
2011,Nord - Pas-de-Calais,1382.4
2011,Nord - Pas-de-Calais,1382.4
2011,Est (FR),2854.78
2011,Lorraine,1339.48
2011,Alsace,315.42
2011,Franche-Comte,1199.88
2011,Ouest (FR),9762.62
2011,Pays de la Loire,3737.56
2011,Bretagne,5320.85
2011,Poitou-Charentes,704.21
2011,Sud-Ouest (FR),1779.52
2011,Aquitaine,695.21
2011,Midi-Pyrenees,899.83
2011,Limousin,184.47
2011,Centre-Est (FR),2779.37
2011,Rhene-Alpes,1553.78
2011,Auvergne,1225.59
2011,Mediterranee,118.31
2011,Languedoc-Roussillon,88.72
2011,Provence-Alpes-Cete d'Azur,29.59
2011,Corse,0
2011,Departements d'outre-mer,21.56
2011,Guadeloupe,0
2011,Martinique,0.42
2011,Guyane,0.03
2011,La Reunion,21.12
2011,Mayotte,0
2011,Departements d'outre-mer (NUTS 2010),21.56
2011,Guadeloupe (NUTS 2010),0
2011,Martinique (NUTS 2010),0.42
2011,Guyane (NUTS 2010),0.03
2011,Reunion (NUTS 2010),21.12
2011,Jadranska Hrvatska,71
2011,Kontinentalna Hrvatska,732
2011,Sjeverozapadna Hrvatska (former statistical region),0
2011,Sredisnja i Istocna (Panonska) Hrvatska (former statistical region),0
2011,Nord-Ovest,5171.7
2011,Piemonte,855.99
2011,Valle d'Aosta/Vallee d'Aoste,44.85
2011,Liguria,43.6
2011,Lombardia,4227.26
2011,Nord-Est,4193.36
2011,Provincia Autonoma di Bolzano/Bozen,391.75
2011,Provincia Autonoma di Trento,159.14
2011,Veneto,995.36
2011,Friuli-Venezia Giulia,213.96
2011,Emilia-Romagna,2433.15
2011,Nord-Est (NUTS 2006),0
2011,Emilia-Romagna (NUTS 2006),0
2011,Centro (IT),637.5
2011,Toscana,60.14
2011,Umbria,66.46
2011,Marche,63.73
2011,Lazio,447.17
2011,Centro (I) (NUTS 2006),0
2011,Marche (NUTS 2006),0
2011,Sud,843.86
2011,Abruzzo,39.59
2011,Molise,73.99
2011,Campania,325.56
2011,Puglia,273.68
2011,Basilicata,46.62
2011,Calabria,84.41
2011,Isole,452.18
2011,Sicilia,210.94
2011,Sardegna,241.24
2011,Kypros,156.02
2011,Kypros,156.02
2011,Latvija,841.7
2011,Latvija,841.7
2011,Lietuva,1782.32
2011,Lietuva,1782.32
2011,Luxembourg,292.25
2011,Luxembourg,292.25
2011,Luxembourg,292.25
2011,Kezep-Magyarorszeg,123.12
2011,Kezep-Magyarorszeg,123.12
2011,Dunentel,688.42
2011,Kezep-Dunentel,244.82
2011,Nyugat-Dunentel,249.91
2011,Del-Dunentel,193.69
2011,Alfeld es eszak,900.93
2011,eszak-Magyarorszeg,125.98
2011,eszak-Alfeld,393.34
2011,Del-Alfeld,381.61
2011,Malta,0
2011,Malta,0
2011,Noord-Nederland,3532
2011,Groningen,711
2011,Friesland (NL),2084
2011,Drenthe,737
2011,Oost-Nederland,3903
2011,Overijssel,1904
2011,Gelderland,1766
2011,Flevoland,233
2011,West-Nederland,2151
2011,Utrecht,646
2011,Noord-Holland,609
2011,Zuid-Holland,757
2011,Zeeland,140
2011,Zuid-Nederland,2056
2011,Noord-Brabant,1673
2011,Limburg (NL),383
2011,Ostesterreich,688.31
2011,Burgenland (AT),30.16
2011,Niederesterreich,658.15
2011,Wien,0
2011,Sedesterreich,731.95
2011,Kernten,214.36
2011,Steiermark,517.59
2011,Westesterreich,1886.87
2011,Oberesterreich,1038.63
2011,Salzburg,333.2
2011,Tirol,351.51
2011,Vorarlberg,163.54
2011,Region Centralny,3716
2011,Ledzkie,986
2011,Mazowieckie,2730
2011,Region Poludniowy,575
2011,Malopolskie,357
2011,Slaskie,218
2011,Region Wschodni,3663
2011,Lubelskie,743
2011,Podkarpackie,261
2011,Swietokrzyskie,395
2011,Podlaskie,2264
2011,Region Pelnocno-Zachodni,1826
2011,Wielkopolskie,1519
2011,Zachodniopomorskie,185
2011,Lubuskie,122
2011,Region Poludniowo-Zachodni,453
2011,Dolnoslaskie,188
2011,Opolskie,265
2011,Region Pelnocny,2181
2011,Kujawsko-Pomorskie,895
2011,Warminsko-Mazurskie,970
2011,Pomorskie,316
2011,Continente,1352.63
2011,Norte,752.72
2011,Algarve,0.32
2011,Centro (PT),283.09
2011,erea Metropolitana de Lisboa,79.87
2011,Alentejo,236.64
2011,Regieo Autenoma dos Aeores (PT),564.56
2011,Regieo Autenoma dos Aeores (PT),564.56
2011,Regieo Autenoma da Madeira (PT),1.32
2011,Regieo Autenoma da Madeira (PT),1.32
2011,Macroregiunea unu,1438
2011,Nord-Vest,820
2011,Centru,618
2011,Macroregiunea doi,1374
2011,Nord-Est,931
2011,Sud-Est,443
2011,Macroregiunea trei,560
2011,Sud - Muntenia,546
