"approval_code","business_name","location","prefecture_name_gr","region_name_gr","activity","latitude","longitude"
"EL-85","ΜΟΥΣΤΑΚΑΣ ΘΩΜΑΣ ΤΟΥ ΙΩΑΝΝΗ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-192","ΜΕΓΑ ΦΑΡΜ ΑΕΒΕ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.997040,23.344191
"GR-203","ΣΠΥΡΙΔ. ΓΕΡΟΔΗΜΟΥ","Γαλαξίδι","Φωκίδας","Στερεάς Ελλάδας","EPC",38.3775349,22.3829923
"GR-170","ΒΑΣ. ΚΑΡΑΓΙΑΝΝΗΣ","Τεγέα","Αρκαδίας","Πελοποννήσου","EPC",37.4945332,22.3801079
"GR-190","ΚΩΝ. ΚΑΜΠΥΛΗΣ","Άστρος Κυνουρίας","Αρκαδίας","Πελοποννήσου","EPC",37.4048259,22.7196809
"GR-228","ΝΙΚ. ΚΟΜΠΟΥΛΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-229","ΔΗΜΗΤΡΙΟΣ ΡΟΥΣΣΟΣ","Ασπρόπυργος","Δυτικής Αττικής","Αττικής","EPC",38.0613716,23.5913013
"GR-236","ΑΛΕΞ. ΜΑΛΤΕΖΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-237","ΑΘΑΝΑΣΙΟΣ ΠΡΟΙΣΚΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-252","ΓΚΟΣΔΗΣ ΔΗΜΗΤΡΙΟΣ ΤΟΥ ΓΕΩΡΓΙΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-253","ΜΩΛΟΣ Ε. ΠΡΟΚΟΠΗΣ  & ΜΠΕΗΣ Π. ΛΟΥΚΑΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-254","ΚΑΡΒΕΛΑΣ Α.ΙΩΑΝΝΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-255","ΣΤΑΜΕΛΟΣ Σ.ΚΩΝ/ΝΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-256","ΑΘΑΝΑΣΙΟΣ ΓΙΑΝΝΙΚΟΣ","Ασπρόπυργος","Δυτικής Αττικής","Αττικής","EPC",38.0613716,23.5913013
"GR-109","ΣΥΝ.ΠΤΗΝΟΤΡΟΦΩΝ ΜΕΓΑΡΩΝ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.989546,23.347102
