approval_code,business_name,location,prefecture,activity,country,longitude,latitude
46.1.2,ΔΕΛΤΑ ΤΡΟΦΙΜΑ Α.Ε. ,Ζάρκο,Τρικάλων,MCC,Ελλάδα,,
06.1.59,ΑΥΓΗ ΑΕ ΔΩΔΩΝΗ,Φιλοθέη,¶ρτας,MCC,Ελλάδα,39.153982,20.889118
37.1.258,ΔΕΛΤΑ ΤΡΟΦΙΜΑ Α.Ε. ,Συδίνη,¶βδηρα Ξάνθης,MCC,Ελλάδα,,
03.1.305,ΗΠΕΙΡΟΣ  Α.Ε.,Στάθα,Αιτωλοακαρνανίας,MCC,Ελλάδα,,
49.1.813,ΑΓΕΛΑΔΟΤΡΟΦΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΠΕΔΙΑΔΑΣ ΜΟΡΝΟΥ,Δήμος Ευπαλίου,Φωκίδας,MCC,Ελλάδα,,
45.1.885,VIVARTIA ABEE,Βαλτερό,Σερρών,MCC,Ελλάδα,,
45.1.1900,ΜΕΒΓΑΛ Α.Ε.,Σέρρες,Σερρών,MCC,Ελλάδα,,
20.1.1903,ΔΩΔΩΝΗ ΑΕ,Κατσικάς,Παμβώτιδα Ιωαννίνων,MCC,Ελλάδα,,
19.1.1904,ΔΩΔΩΝΗ ΑΕ - Α.Β.Γ.Η.,Βιομηχανική Περιοχή Θεσπρωτίας,Θεσπρωτίας,ΜCC,Ελλάδα,,
30.1.1905,ΛΑΜΠΡΟΣ ΔΗΜΗΤΡΙΟΣ ΚΑΙ ΣΙΑ ΟΕ,Δημοτικό Διαμέρισμα Νιάτων,Λακωνίας,ΜCC,Ελλάδα,,
30.1.1908,ΤΣΑΙΛΑΡΗ ΜΑΡΙΑ & ΣΙΑ Ε.Ε.,Κεραμωτή,Λακωνίας,ΜCC,Ελλάδα,,
15.1.1906,ΜΙΝΕΡΒΑ ΑΕ,Ανδραβίδα,Ηλείας,ΜCC,Ελλάδα,,
02.1.1907,ΝΤΟΥΛΑ Δ. ΑΘΑΝΑΣΙΑ,Μέγαρα,Δυτικής Αττικής,ΜCC,Ελλάδα,,
38.1.1909,ΗΠΕΙΡΟΣ  Α.Β.Ε.Ε.,Δήμος Πέλλας,Πέλλας,ΜCC,Ελλάδα,,
