id;name;code;prefecture;region
1;ΕΛΛΗΝΙΚΟ ΜΕΛΙ Α.Β.Ε.Γ. & ΜΕΛΙ ΜΑΝΗΣ;25ΣΜ2(25SM2);Δυτικού Τομέα Αθηνών;Αττικής
2;Π. ΚΑΒΟΥΡΑΣ & ΣΙΑ ΟΕ;25ΣΜ3(25SM3);Δυτικού Τομέα Αθηνών;Αττικής
3;ΠΟΛΥΖΟΣ ΗΛΙΑΣ;09ΣΜ1(09SM1);Ανατολικής Αττικής;Αττικής
4;ΕΡΓΑΣΤΗΡΙ ΜΕΛΙΟΥ - ΑΦΟΙ Δ. & Λ. ΚΕΚΚΟΥ & ΣΙΑ ΟΕ;09ΣΜ2(09SM2);Ανατολικής Αττικής;Αττικής
5;ATTIKH ΜΕΛΙΣΣΟΚΟΜΙΚΗ ΕΤΑΙΡΕΙΑ - Α.ΠΙΤΤΑΣ ΑΕΒΕ;09ΣΜ3(09SM3);Ανατολικής Αττικής;Αττικής
6;ΚΩΣΤΑΚΗΣ ΜΑΝΩΛΗΣ & ΣΙΑ ΕΠΕ (Δ.Τ. ΧΡΥΣΗ ΜΕΛΙΣΣΑ);09ΣΜ4(09SM4);Ανατολικής Αττικής;Αττικής
7;FALCON Α.Ε.Β.Ε.;09ΣΜ5(09SM5);Ανατολικής Αττικής;Αττικής
8;ΣΑΚΑΡΙΚΟΥ ΧΡΙΣΤΙΝΑ ;09ΣΜ6(09SM6);Ανατολικής Αττικής;Αττικής
9;ELLINBIO IKE;09ΣΜ7(09SM7);Δυτικής Αττικής;Αττικής
10;ΦΩΤΙΟΣ ΠΛΑΤΑΝΙΔΗΣ & ΣΙΑ ΟΕ;02ΣΜ1(02SM1);Δυτικής Αττικής;Αττικής
11;ΔΕΛΦΟΙ ΑΒΕΕ;02ΣΜ2(02SM2);Δυτικής Αττικής;Αττικής
12;ΜΕΛΙΣΣΟΚΟΜΙΑ ΦΩΤΟΠΟΥΛΟΥ (ΜΕΛΙ ΤΑΥΓΕΤΟΥ);02ΣΜ3(02SM3);Δυτικής Αττικής;Αττικής
13;ΜΕΛΙΡΑ ΑΤΟΜΙΚΗ (Δ.Τ. MELIRA);02ΣΜ4(02SM4);Δυτικής Αττικής;Αττικής
14;ΤΑΜΠΑΡΗΣ ΙΩΑΝΝΗΣ;29ΣΜ1(29SM1);Πειραιώς και Νήσων;Αττικής
15;ΣΚΟΥΤΗΣ ΝΙΚΟΛΑΟΣ;28ΣΜ1(28SM1);Πειραιώς και Νήσων;Αττικής
16;ΚΑΚΑΡΟΥΝΑΣ ΧΡΗΣΤΟΣ;01ΣΜ1(01SM1);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
17;ΤΣΕΠΑ ΕΛΕΝΗ;01ΣΜ2(01SM2);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
18;ΧΑΛΙΜΟΥΡΔΑ ΤΣΑΚΑΝΙΚΑ ΧΡΥΣΟΥΛΑ;01ΣΜ3(01SM3);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
19;ΣΤΥΛΙΑΡΑΣ ΙΩΑΝΝΗΣ;01ΣΜ4(01SM4);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
20;ΣΤΑΥΡΑΚΑΣ ΙΩΑΝΝΗΣ ΤΟΥ ΓΕΩΡΓΙΟΥ;01ΣΜ5(01SM5);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
21;ΛΑΖΑΡΗΣ ΣΠΥΡΙΔΩΝ ΤΟΥ ΙΩΑΝΝΗ;01ΣΜ6(01SM6);Αιτωλοακαρνανίας;Δυτικής Ελλάδας
22;ΡΙΤΗΣ ΔΗΜΗΤΡΙΟΣ;13ΣΜ1(13SM1);Αχαϊας;Δυτικής Ελλάδας
23;ΤΣΑΛΠΑΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ;13ΣΜ2(13SM2);Αχαϊας;Δυτικής Ελλάδας
24;ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ;13ΣΜ3(13SM3);Αχαϊας;Δυτικής Ελλάδας
25;ΚΟΥΤΡΟΥΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ;13ΣΜ4(13SM4);Αχαϊας;Δυτικής Ελλάδας
26;ΓΚΛΑΒΑΣ ΓΕΩΡΓΙΟΣ ΚΑΙ ΣΙΑ ΟΕ;13ΣΜ5(13SM5);Αχαϊας;Δυτικής Ελλάδας
