Έτος;Περιφέρεια;Περιφερειακή Ενότητα;Αριθμός κυψελών;Παραγωγή μελιού (τν);Μέση τιμή παραγωγού (€/kg);Συνολική αξία παραγωγής (€)
2004;Ανατολικής Μακεδονίας και Θράκης;Δράμας;13000,00;158,60;4,36;691496,00
2004;Ανατολικής Μακεδονίας και Θράκης;Έβρου;26764,00;326,52;4,36;1423627,20
2004;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;57490,00;701,38;4,36;3058016,80
2004;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;9740,00;118,83;4,36;518098,80
2004;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12000,00;146,40;4,36;638304,00
2004;Αττικής;Αττικής;39850,00;486,17;4,36;2119701,20
2004;Αττικής;Πειραιά;14150,00;172,63;4,36;752666,80
2004;Βορείου Αιγαίου;Λέσβου;17000,00;207,40;4,36;904264,00
2004;Βορείου Αιγαίου;Σάμου;21890,00;267,06;4,36;1164381,60
2004;Βορείου Αιγαίου;Χίου;8238,00;100,50;4,36;438180,00
2004;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;40045,00;488,55;4,36;2130078,00
2004;Δυτικής Ελλάδας;Αχαΐας;27500,00;335,50;4,36;1462780,00
2004;Δυτικής Ελλάδας;Ηλείας;12500,00;152,50;4,36;664900,00
2004;Δυτικής Μακεδονίας;Γρεβενών;5695,00;69,48;4,36;302932,80
2004;Δυτικής Μακεδονίας;Καστοριάς;2000,00;24,40;4,36;106384,00
2004;Δυτικής Μακεδονίας;Κοζάνης;9128,00;111,36;4,36;485529,60
2004;Δυτικής Μακεδονίας;Φλωρίνης;3405,00;41,54;4,36;181114,40
2004;Ηπείρου;Άρτης;25000,00;305,00;4,36;1329800,00
2004;Ηπείρου;Θεσπρωτίας;5580,00;68,08;4,36;296828,80
2004;Ηπείρου;Ιωαννίνων;18000,00;219,60;4,36;957456,00
2004;Ηπείρου;Πρεβέζης;6800,00;82,96;4,36;361705,60
2004;Θεσσαλίας;Καρδίτσης;50000,00;610,00;4,36;2659600,00
2004;Θεσσαλίας;Λαρίσης;33000,00;402,60;4,36;1755336,00
2004;Θεσσαλίας;Μαγνησίας;30000,00;366,00;4,36;1595760,00
2004;Θεσσαλίας;Τρικάλων;13522,00;164,97;4,36;719269,20
2004;Ιόνια Νησιά;Ζακύνθου;5912,00;72,13;4,36;314486,80
2004;Ιόνια Νησιά;Κέρκυρας;8000,00;97,60;4,36;425536,00
2004;Ιόνια Νησιά;Κεφαλληνίας;12000,00;146,40;4,36;638304,00
2004;Ιόνια Νησιά;Λευκάδος;6074,00;74,10;4,36;323076,00
2004;Κεντρικής Μακεδονίας;Ημαθίας;23870,00;291,21;4,36;1269675,60
2004;Κεντρικής Μακεδονίας;Θεσσαλονίκης;18200,00;222,04;4,36;968094,40
2004;Κεντρικής Μακεδονίας;Κιλκίς;6280,00;76,62;4,36;334063,20
2004;Κεντρικής Μακεδονίας;Πέλλης;10875,00;132,68;4,36;578484,80
2004;Κεντρικής Μακεδονίας;Πιερίας;10846,00;132,32;4,36;576915,20
2004;Κεντρικής Μακεδονίας;Σερρών;17800,00;217,16;4,36;946817,60
2004;Κεντρικής Μακεδονίας;Χαλκιδικής;172820,00;2108,40;4,36;9192624,00
2004;Κρήτης;Ηρακλείου;71000,00;866,20;4,36;3776632,00
2004;Κρήτης;Λασιθίου;25231,00;307,82;4,36;1342095,20
2004;Κρήτης;Ρεθύμνης;15000,00;183,00;4,36;797880,00
2004;Κρήτης;Χανίων;82000,00;1000,40;4,36;4361744,00
2004;Νοτίου Αιγαίου;Δωδεκανήσου;40800,00;497,76;4,36;2170233,60
2004;Νοτίου Αιγαίου;Κυκλάδων;29633,00;361,52;4,36;1576227,20
2004;Πελοποννήσου;Αργολίδος;43887,00;535,42;4,36;2334431,20
2004;Πελοποννήσου;Αρκαδίας;45600,00;556,32;4,36;2425555,20
2004;Πελοποννήσου;Κορινθίας;22650,00;276,33;4,36;1204798,80
2004;Πελοποννήσου;Λακωνίας;47050,00;574,01;4,36;2502683,60
2004;Πελοποννήσου;Μεσσηνίας;33500,00;408,70;4,36;1781932,00
2004;Στερεάς Ελλάδας;Βοιωτίας;23550,00;287,31;4,36;1252671,60
2004;Στερεάς Ελλάδας;Ευβοίας;111000,00;1354,20;4,36;5904312,00
2004;Στερεάς Ελλάδας;Ευρυτανίας;12578,00;153,45;4,36;669042,00
2004;Στερεάς Ελλάδας;Φθιώτιδας;53000,00;646,60;4,36;2819176,00
2004;Στερεάς Ελλάδας;Φωκίδας;9500,00;115,90;4,36;505324,00
2005;Ανατολικής Μακεδονίας και Θράκης;Δράμας;13500,00;167,40;5,64;944136,00
2005;Ανατολικής Μακεδονίας και Θράκης;Έβρου;27964,00;346,75;5,64;1955670,00
2005;Ανατολικής Μακεδονίας και Θράκης;Καβάλας;57490,00;712,88;5,64;4020643,20
2005;Ανατολικής Μακεδονίας και Θράκης;Ξάνθης;9900,00;122,76;5,64;692366,40
2005;Ανατολικής Μακεδονίας και Θράκης;Ροδόπης;12000,00;148,80;5,64;839232,00
2005;Αττικής;Αττικής;25930,00;321,53;5,64;1813429,20
2005;Αττικής;Πειραιά;13800,00;171,12;5,64;965116,80
2005;Βορείου Αιγαίου;ΛΕΣΒΟΥ;25000,00;310,00;5,64;1748400,00
2005;Βορείου Αιγαίου;Σάμου;22000,00;272,80;5,64;1538592,00
2005;Βορείου Αιγαίου;Χίου;8675,00;107,57;5,64;606694,80
2005;Δυτικής Ελλάδας;Αιτωλοακαρνανίας;40045,00;496,56;5,64;2800598,40
2005;Δυτικής Ελλάδας;Αχαΐας;28000,00;347,20;5,64;1958208,00
2005;Δυτικής Ελλάδας;Ηλείας;12100,00;150,04;5,64;846225,60
2005;Δυτικής Μακεδονίας;Γρεβενών;6200,00;76,88;5,64;433603,20
2005;Δυτικής Μακεδονίας;Καστοριάς;3700,00;45,88;5,64;258763,20
2005;Δυτικής Μακεδονίας;Κοζάνης;10159,00;125,97;5,64;710470,80
2005;Δυτικής Μακεδονίας;Φλωρίνης;3405,00;42,22;5,64;238120,80
2005;Ηπείρου;Άρτης;25000,00;310,00;5,64;1748400,00
2005;Ηπείρου;Θεσπρωτίας;5580,00;69,19;5,64;390231,60
2005;Ηπείρου;Ιωαννίνων;18000,00;223,20;5,64;1258848,00
2005;Ηπείρου;Πρεβέζης;6800,00;84,32;5,64;475564,80
2005;Θεσσαλίας;Καρδίτσης;50000,00;620,00;5,64;3496800,00
2005;Θεσσαλίας;Λαρίσης;34000,00;421,60;5,64;2377824,00
2005;Θεσσαλίας;Μαγνησίας;30400,00;376,96;5,64;2126054,40
2005;Θεσσαλίας;Τρικάλων;14981,00;185,76;5,64;1047686,40
2005;Ιόνια Νησιά;Ζακύνθου;6438,00;79,83;5,64;450241,20
2005;Ιόνια Νησιά;Κέρκυρας;8000,00;99,20;5,64;559488,00
2005;Ιόνια Νησιά;Κεφαλληνίας;12000,00;148,80;5,64;839232,00
2005;Ιόνια Νησιά;Λευκάδος;6074,00;75,32;5,64;424804,80
2005;Κεντρικής Μακεδονίας;Ημαθίας;9600,00;119,04;5,64;671385,60
2005;Κεντρικής Μακεδονίας;Θεσσαλονίκης;19200,00;238,08;5,64;1342771,20
2005;Κεντρικής Μακεδονίας;Κιλκίς;7741,00;95,99;5,64;541383,60
2005;Κεντρικής Μακεδονίας;Πέλλης;7650,00;94,86;5,64;535010,40
2005;Κεντρικής Μακεδονίας;Πιερίας;24000,00;297,60;5,64;1678464,00
2005;Κεντρικής Μακεδονίας;Σερρών;18600,00;230,64;5,64;1300809,60
2005;Κεντρικής Μακεδονίας;Χαλκιδικής;177560,00;2201,74;5,64;12417813,60
2005;Κρήτης;Ηρακλείου;75000,00;930,00;5,64;5245200,00
2005;Κρήτης;Λασιθίου;26600,00;329,84;5,64;1860297,60
2005;Κρήτης;Ρεθύμνης;17000,00;210,80;5,64;1188912,00
2005;Κρήτης;Χανίων;83000,00;1029,20;5,64;5804688,00
2005;Νοτίου Αιγαίου;Δωδεκανήσου;40800,00;505,92;5,64;2853388,80
2005;Νοτίου Αιγαίου;Κυκλάδων;29633,00;367,45;5,64;2072418,00
2005;Πελοποννήσου;Αργολίδος;47608,00;590,34;5,64;3329517,60
2005;Πελοποννήσου;Αρκαδίας;45600,00;565,44;5,64;3189081,60
2005;Πελοποννήσου;Κορινθίας;27511,00;341,14;5,64;1924029,60
2005;Πελοποννήσου;Λακωνίας;39880,00;494,51;5,64;2789036,40
2005;Πελοποννήσου;Μεσσηνίας;36768,00;455,92;5,64;2571388,80
2005;Στερεάς Ελλάδας;Βοιωτίας;23550,00;292,02;5,64;1646992,80
