year,country,meat_type,unit,quantity
2006,European Union (28 countries),Bovine meat,Thousand tonnes,8191.18
2006,European Union (28 countries),Bovine meat,Thousand head (animals),29635.93
2006,European Union (28 countries),Calve and young cattley,Thousand tonnes,928.43
2006,European Union (28 countries),Calve and young cattley,Thousand head (animals),6552.75
2006,European Union (28 countries),Calve,Thousand tonnes,0
2006,European Union (28 countries),Calve,Thousand head (animals),0
2006,European Union (28 countries),Young cattle,Thousand tonnes,0
2006,European Union (28 countries),Young cattle,Thousand head (animals),0
2006,European Union (28 countries),Adult cattle,Thousand tonnes,7262.76
2006,European Union (28 countries),Adult cattle,Thousand head (animals),23083.18
2006,European Union (27 countries),Bovine meat,Thousand tonnes,8131.79
2006,European Union (27 countries),Bovine meat,Thousand head (animals),29277.5
2006,European Union (27 countries),Calve and young cattley,Thousand tonnes,916.95
2006,European Union (27 countries),Calve and young cattley,Thousand head (animals),6388.66
2006,European Union (27 countries),Calve,Thousand tonnes,0
2006,European Union (27 countries),Calve,Thousand head (animals),0
2006,European Union (27 countries),Young cattle,Thousand tonnes,0
2006,European Union (27 countries),Young cattle,Thousand head (animals),0
2006,European Union (27 countries),Adult cattle,Thousand tonnes,7214.84
2006,European Union (27 countries),Adult cattle,Thousand head (animals),22888.84
2006,European Union (25 countries),Bovine meat,Thousand tonnes,7914.43
2006,European Union (25 countries),Bovine meat,Thousand head (animals),28001.23
2006,European Union (25 countries),Calve and young cattley,Thousand tonnes,782.57
2006,European Union (25 countries),Calve and young cattley,Thousand head (animals),5583.83
2006,European Union (25 countries),Calve,Thousand tonnes,0
2006,European Union (25 countries),Calve,Thousand head (animals),0
2006,European Union (25 countries),Young cattle,Thousand tonnes,0
2006,European Union (25 countries),Young cattle,Thousand head (animals),0
2006,European Union (25 countries),Adult cattle,Thousand tonnes,7131.86
2006,European Union (25 countries),Adult cattle,Thousand head (animals),22417.39
2006,European Union (15 countries),Bovine meat,Thousand tonnes,7298.64
